state,jurisdiction,document,pdf_url,text_url,title
California,Redwood City,Redwood City Police Union Contract,https://www.checkthepolice.org/s/Redwood-City-Police-Contract.PDF,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Redwood%20City/pdfUrl.txt,Redwood City Police Union Contract
California,Chula Vista,Police Union Contract,https://www.checkthepolice.org/s/chula-vista-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Chula%20Vista/Police%20Union%20Contract.txt,Chula Vista Police Union Contract
California,Glendale,Police Union Contract,https://www.checkthepolice.org/s/Glendale-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Glendale/Police%20Union%20Contract.txt,Glendale Police Union Contract
California,San Leandro,Police Union Contract,https://www.checkthepolice.org/s/San-Leandro-police-union-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/San%20Leandro/pdfUrl.txt,San Leandro Police Union Contract
California,Costa Mesa,Police Union Contract,http://www.costamesaca.gov/modules/showdocument.aspx?documentid=765,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Costa%20Mesa/pdfUrl.txt,Costa Mesa Police Union Contract
California,Burbank,Police Union Contract,https://www.checkthepolice.org/s/Burbank-police-contract-g15k.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Burbank/pdfUrl.txt,Burbank Police Union Contract
California,Carlsbad,Police Union Contract,https://www.checkthepolice.org/s/Carlsbad-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Carlsbad/pdfUrl.txt,Carlsbad Police Union Contract
California,Hayward,Police Union Contract,https://www.checkthepolice.org/s/Hayward-police-union-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Hayward/pdfUrl.txt,Hayward Police Union Contract
California,Fresno,non supervisors,https://www.checkthepolice.org/s/Fresno-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Fresno/non%20supervisors.txt,Fresno non supervisors
California,Fresno,supervisors,https://www.checkthepolice.org/s/Fresno-Police-supervisors-contract-jlfd.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Fresno/supervisors.txt,Fresno supervisors
California,Bakersfield,Police Union Contract,https://www.checkthepolice.org/s/Bakersfield-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Bakersfield/Police%20Union%20Contract.txt,Bakersfield Police Union Contract
California,Cypress,Police Union Contract,https://www.checkthepolice.org/s/Cypress-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Cypress/pdfUrl.txt,Cypress Police Union Contract
California,Richmond,Police Union Contract,https://www.checkthepolice.org/s/Richmond-CA-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Richmond/pdfUrl.txt,Richmond Police Union Contract
California,Stockton,MOU #2,https://www.checkthepolice.org/s/Stockton-police-contract-3.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Stockton/MOU%20%232.txt,Stockton MOU #2
California,Stockton,MOU #1,https://www.checkthepolice.org/s/Stockton-police-contract-2.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Stockton/MOU%20%231.txt,Stockton MOU #1
California,Stockton,contract,https://www.checkthepolice.org/s/Stockton-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Stockton/contract.txt,Stockton contract
California,State,California Police Bill of Rights,https://www.checkthepolice.org/s/CApoliceofficersbillofrights.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/State/California%20Police%20Bill%20of%20Rights.txt,State California Police Bill of Rights
California,Los Angeles,LA City Charter Police Disciplinary Provisions,https://www.checkthepolice.org/s/Los-Angeles-City-Charter-police-disciplinary-provisions.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Los%20Angeles/LA%20City%20Charter%20Police%20Disciplinary%20Provisions.txt,Los Angeles LA City Charter Police Disciplinary Provisions
California,Los Angeles,Police Union Contract,https://www.checkthepolice.org/s/LosAngelespolicecontract-o615.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Los%20Angeles/Los%20Angeles%20Police%20Union%20Contract.txt,Los Angeles Police Union Contract
California,Long Beach,Police Union Contract,https://www.checkthepolice.org/s/Long-Beach-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Long%20Beach/Police%20Union%20Contract.txt,Long Beach Police Union Contract
California,Berkeley,Police Union Contract,https://www.checkthepolice.org/s/Berkeley-Police-Contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Berkeley/pdfUrl.txt,Berkeley Police Union Contract
California,Rialto,Police Union Contract,https://www.checkthepolice.org/s/Rialto-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Rialto/pdfUrl.txt,Rialto Police Union Contract
California,Beverly Hills,Police Union Contract,https://www.checkthepolice.org/s/Beverly-Hills-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Beverly%20Hills/pdfUrl.txt,Beverly Hills Police Union Contract
